images,z,x
03_13_2020_1\output_0003\0000921_z05_x07.jpg,5,7
03_09_2020_1\output_0021\0000128_z01_x06.jpg,1,6
03_16_2020_0\output_0004\0000343_z07_x06.jpg,7,6
03_16_2020_0\output_0005\0000165_z06_x07.jpg,6,7
03_13_2020_0\output_0002\0000173_z06_x07.jpg,6,7
03_13_2020_0\output_0007\0000186_z07_x07.jpg,7,7
03_13_2020_0\output_0003\0000275_z07_x06.jpg,7,6
03_10_2020_1\output_0013\0000873_z03_x06.jpg,3,6
03_12_2020_0\output_0006\0001058_z10_x07.jpg,10,7
03_10_2020_1\output_0015\0000531_z01_x06.jpg,1,6
03_10_2020_1\output_0015\0000689_z03_x06.jpg,3,6
03_13_2020_1\output_0007\0000921_z03_x07.jpg,3,7
03_10_2020_1\output_0004\0000829_z00_x06.jpg,0,6
03_13_2020_1\output_0005\0000792_z05_x07.jpg,5,7
03_12_2020_0\output_0013\0000027_z06_x07.jpg,6,7
03_12_2020_0\output_0001\0000892_z08_x06.jpg,8,6
03_06_2020_0\output_0011\0000168_z00_x07.jpg,0,7
03_12_2020_0\output_0000\0000227_z07_x06.jpg,7,6
03_09_2020_1\output_0029\0000185_z00_x07.jpg,0,7
03_10_2020_1\output_0005\0001065_z04_x06.jpg,4,6
03_06_2020_0\output_0003\0000140_z10_x07.jpg,10,7
03_12_2020_0\output_0013\0000461_z05_x07.jpg,5,7
03_13_2020_1\output_0006\0000056_z03_x06.jpg,3,6
03_13_2020_1\output_0004\0000529_z02_x07.jpg,2,7
03_16_2020_0\output_0003\0000169_z06_x06.jpg,6,6
03_09_2020_1\output_0016\0000079_z05_x06.jpg,5,6
03_09_2020_1\output_0017\0000038_z01_x06.jpg,1,6
03_09_2020_1\output_0019\0000400_z02_x07.jpg,2,7
03_13_2020_1\output_0008\0000096_z01_x06.jpg,1,6
03_09_2020_1\output_0031\0000856_z05_x06.jpg,5,6
03_12_2020_0\output_0010\0000151_z08_x07.jpg,8,7
03_10_2020_1\output_0007\0000052_z05_x06.jpg,5,6
03_16_2020_0\output_0006\0000286_z08_x06.jpg,8,6
03_09_2020_1\output_0013\0000600_z05_x07.jpg,5,7
03_09_2020_1\output_0037\0000250_z03_x06.jpg,3,6
03_13_2020_1\output_0011\0000541_z05_x07.jpg,5,7
03_06_2020_0\output_0004\0001179_z02_x06.jpg,2,6
03_16_2020_0\output_0004\0000627_z08_x06.jpg,8,6
03_12_2020_0\output_0007\0000165_z07_x07.jpg,7,7
03_13_2020_1\output_0013\0000705_z03_x07.jpg,3,7
03_13_2020_1\output_0002\0000230_z01_x07.jpg,1,7
03_12_2020_0\output_0003\0000331_z09_x07.jpg,9,7
03_09_2020_1\output_0037\0000699_z04_x07.jpg,4,7
03_13_2020_0\output_0002\0000065_z07_x06.jpg,7,6
03_09_2020_1\output_0037\0000171_z05_x06.jpg,5,6
03_13_2020_1\output_0006\0000835_z03_x06.jpg,3,6
03_13_2020_1\output_0008\0000751_z04_x06.jpg,4,6
03_06_2020_0\output_0009\0001330_z05_x07.jpg,5,7
03_10_2020_1\output_0009\0000658_z05_x06.jpg,5,6
03_06_2020_0\output_0002\0001088_z10_x06.jpg,10,6
03_12_2020_0\output_0003\0001123_z09_x07.jpg,9,7
03_13_2020_1\output_0008\0000140_z04_x06.jpg,4,6
03_13_2020_1\output_0002\0000488_z02_x06.jpg,2,6
03_12_2020_0\output_0013\0000859_z08_x07.jpg,8,7
03_06_2020_0\output_0003\0000395_z05_x07.jpg,5,7
03_09_2020_1\output_0041\0000609_z05_x07.jpg,5,7
03_12_2020_0\output_0003\0000675_z05_x07.jpg,5,7
03_12_2020_0\output_0002\0000847_z05_x07.jpg,5,7
03_13_2020_0\output_0000\0000513_z07_x07.jpg,7,7
03_13_2020_1\output_0006\0000032_z02_x07.jpg,2,7
03_09_2020_1\output_0042\0000012_z03_x06.jpg,3,6
03_12_2020_0\output_0006\0000517_z09_x07.jpg,9,7
03_09_2020_1\output_0017\0000175_z00_x08.jpg,0,8
03_13_2020_1\output_0010\0000322_z04_x06.jpg,4,6
