images,z,x
03_10_2020_1\output_0012\0000797_z04_x06.jpg,4,6
03_10_2020_1\output_0011\0000061_z03_x06.jpg,3,6
03_13_2020_0\output_0002\0000662_z07_x07.jpg,7,7
03_06_2020_0\output_0005\0000402_z07_x07.jpg,7,7
03_16_2020_0\output_0001\0000773_z08_x07.jpg,8,7
03_09_2020_1\output_0014\0000254_z05_x06.jpg,5,6
03_12_2020_0\output_0001\0000283_z08_x06.jpg,8,6
03_09_2020_1\output_0022\0000062_z03_x06.jpg,3,6
03_09_2020_1\output_0022\0000155_z02_x06.jpg,2,6
03_10_2020_1\output_0010\0000542_z05_x06.jpg,5,6
03_06_2020_0\output_0008\0001274_z05_x06.jpg,5,6
03_12_2020_0\output_0006\0000809_z07_x06.jpg,7,6
03_12_2020_0\output_0009\0000801_z09_x07.jpg,9,7
03_09_2020_1\output_0021\0000705_z04_x07.jpg,4,7
03_09_2020_1\output_0013\0000050_z03_x07.jpg,3,7
03_10_2020_1\output_0004\0000476_z01_x06.jpg,1,6
03_12_2020_0\output_0012\0000634_z08_x07.jpg,8,7
03_09_2020_1\output_0031\0000090_z04_x06.jpg,4,6
03_16_2020_0\output_0002\0000297_z06_x06.jpg,6,6
03_16_2020_0\output_0003\0000404_z07_x07.jpg,7,7
03_06_2020_0\output_0002\0000394_z10_x06.jpg,10,6
03_13_2020_0\output_0003\0000099_z06_x06.jpg,6,6
03_10_2020_1\output_0011\0001041_z03_x06.jpg,3,6
03_09_2020_1\output_0013\0000066_z05_x07.jpg,5,7
03_13_2020_1\output_0007\0000400_z01_x06.jpg,1,6
03_13_2020_1\output_0006\0000029_z03_x06.jpg,3,6
03_12_2020_0\output_0004\0000832_z07_x07.jpg,7,7
03_09_2020_1\output_0037\0000618_z03_x07.jpg,3,7
03_13_2020_0\output_0001\0000297_z06_x07.jpg,6,7
03_10_2020_1\output_0012\0000937_z02_x06.jpg,2,6
03_12_2020_0\output_0001\0000552_z07_x07.jpg,7,7
